2021-03-29  INFO [Router-akka.actor.default-dispatcher-4] a.e.s.Slf4jLogger - Slf4jLogger started
2021-03-29 17:22:54.519UTC INFO [Router-akka.actor.default-dispatcher-7] WorkerActor - worker2 is working on: List(depuis, plusieurs, années.)
2021-03-29 17:22:54.522UTC INFO [Router-akka.actor.default-dispatcher-7] WorkerActor - worker1 is working on: List(associatif, et, culturel,, certaines)
2021-03-29 17:22:54.526UTC INFO [Router-akka.actor.default-dispatcher-7] WorkerActor - worker3 is working on: List(de, ses, activités, durent)
2021-03-29 17:22:54.530UTC INFO [Router-akka.actor.default-dispatcher-7] WorkerActor - worker3 is working on: List(mécénat, dans, le, milieu)
2021-03-29 17:22:54.533UTC INFO [Router-akka.actor.default-dispatcher-7] WorkerActor - worker3 is working on: List(s'investir, dans, des, activités)
2021-03-29 17:22:54.535UTC INFO [Router-akka.actor.default-dispatcher-7] WorkerActor - worker3 is working on: List(groupe, est, connu, pour)
2021-03-29 17:22:54.536UTC INFO [Router-akka.actor.default-dispatcher-7] WorkerActor - worker3 is working on: List(dirigeant., À, l'opposé,, le)
2021-03-29 17:22:54.537UTC INFO [Router-akka.actor.default-dispatcher-7] WorkerActor - worker3 is working on: List(le, salaire, de, son)
2021-03-29 17:22:54.538UTC INFO [Router-akka.actor.default-dispatcher-7] WorkerActor - worker3 is working on: List(de, leur, société, et)
2021-03-29 17:22:54.540UTC INFO [Router-akka.actor.default-dispatcher-7] WorkerActor - worker2 is working on: List(salariés, après, le, rachat)
2021-03-29 17:22:54.540UTC INFO [Router-akka.actor.default-dispatcher-7] WorkerActor - worker3 is working on: List(dégradation, des, acquis, des)
2021-03-29 17:22:54.541UTC INFO [Router-akka.actor.default-dispatcher-7] WorkerActor - worker2 is working on: List(cas, de, licenciements, abusifs,)
2021-03-29 17:22:54.541UTC INFO [Router-akka.actor.default-dispatcher-7] WorkerActor - worker2 is working on: List(Akka, Technologies, souffre, de)
2021-03-29 17:22:54.542UTC INFO [Router-akka.actor.default-dispatcher-7] WorkerActor - worker2 is working on: List(beaucoup, de, grands, groupes,)
2021-03-29 17:22:54.553UTC INFO [Router-akka.actor.default-dispatcher-7] WorkerActor - worker3 is working on: List(quelques, controverses, comme, des)
2021-03-29 17:22:54.554UTC INFO [Router-akka.actor.default-dispatcher-7] WorkerActor - worker3 is working on: List(automobile, Akka-ASP, team., Comme)
2021-03-29 17:22:54.557UTC INFO [Router-akka.actor.default-dispatcher-7] WorkerActor - worker3 is working on: List(de, l'écurie, de, sport)
2021-03-29 17:22:54.557UTC INFO [Router-akka.actor.default-dispatcher-5] WorkerActor - worker3 is working on: List(est, le, partenaire, titre)
